,Gene names,BCC LFQ intensity 12_1L,BCC LFQ intensity 12_3L,BCC LFQ intensity 12_5L,BCC LFQ intensity 27_1L,BCC LFQ intensity 27_3L,BCC LFQ intensity 27_5L,BCC LFQ intensity 39_1L,BCC LFQ intensity 39_3L,BCC LFQ intensity 39_5L,BCC LFQ intensity 89_1L,BCC LFQ intensity 89_3L,BCC LFQ intensity 89_5L,BCC LFQ intensity 72_3L,BCC LFQ intensity 103_1L,BCC LFQ intensity 103_3L,BCC LFQ intensity 103_5L,BCC LFQ intensity 107_3L,BCC LFQ intensity 111_3L,BCC LFQ intensity 49_3L,BCC LFQ intensity 105_3L,BCC LFQ intensity 16_3L,BCC LFQ intensity 99_1L,BCC LFQ intensity 99_3L,BCC LFQ intensity 99_5L,BCC LFQ intensity 109_3L,BCC LFQ intensity 73_1L,BCC LFQ intensity 73_3L,BCC LFQ intensity 73_5L,BCC LFQ intensity 92_1L,BCC LFQ intensity 92_3L,BCC LFQ intensity 92_5L,BCC LFQ intensity 54_1L,BCC LFQ intensity 54_3L,BCC LFQ intensity 54_5L,BCC LFQ intensity 104_1L,BCC LFQ intensity 104_3L,BCC LFQ intensity 104_5L,SCC LFQ intensity 21_1L,SCC LFQ intensity 21_3L,SCC LFQ intensity 21_5L,SCC LFQ intensity 31_1L,SCC LFQ intensity 31_3L,SCC LFQ intensity 31_5L,SCC LFQ intensity 32_1L,SCC LFQ intensity 32_3L,SCC LFQ intensity 32_5L,SCC LFQ intensity 90_1L,SCC LFQ intensity 90_3L,SCC LFQ intensity 90_5L,SCC LFQ intensity 59_3L,SCC LFQ intensity 88_3L,SCC LFQ intensity 110_3L,SCC LFQ intensity 45_3L,SCC LFQ intensity 60_3L,SCC LFQ intensity 95_3L,SCC LFQ intensity 101_3L,SCC&BCC LFQ intensity 25_1L,SCC&BCC LFQ intensity 25_3L,SCC&BCC LFQ intensity 25_5L,keratosis LFQ intensity 33_1L,keratosis LFQ intensity 33_3L,keratosis LFQ intensity 33_5L
0,AHNAK,70718000000.0,163510000000.0,105540000000.0,123760000000.0,115080000000.0,207700000000.0,99208000000.0,105620000000.0,81277000000.0,46936000000.0,16367000000.0,51948000000.0,31901000000.0,40634000000.0,11314000000.0,43387000000.0,33091000000.0,36973000000.0,21278000000.0,18719000000.0,22575000000.0,27693000000.0,29079000000.0,27503000000.0,15827000000.0,39546000000.0,46592000000.0,38944000000.0,33320000000.0,21664000000.0,26298000000.0,36341000000.0,44993000000.0,45994000000.0,29511000000.0,24994000000.0,26372000000.0,81946000000.0,92142000000.0,100770000000.0,82693000000.0,153430000000.0,95265000000.0,97821000000.0,96697000000.0,48880000000.0,27678000000.0,30158000000.0,25774000000.0,26007000000.0,20892000000.0,16593000000.0,21479000000.0,30914000000.0,20466000000.0,1299700000.0,108090000000.0,112820000000.0,149960000000.0,69392000000.0,72462000000.0,93743000000.0
1,PLEC,25029000000.0,10561000000.0,36874000000.0,99032000000.0,98850000000.0,57645000000.0,30454000000.0,47286000000.0,61731000000.0,10553000000.0,15663000000.0,12573000000.0,8089400000.0,6732100000.0,8591100000.0,6621900000.0,14431000000.0,24903000000.0,15477000000.0,23539000000.0,16205000000.0,10684000000.0,15442000000.0,18195000000.0,17003000000.0,23911000000.0,24317000000.0,30190000000.0,7587700000.0,31314000000.0,32445000000.0,5943700000.0,8018300000.0,11987000000.0,10261000000.0,7133900000.0,8117700000.0,39506000000.0,25639000000.0,38503000000.0,30151000000.0,111480000000.0,44213000000.0,55278000000.0,114590000000.0,46377000000.0,5158100000.0,56662000000.0,5097700000.0,17053000000.0,5938600000.0,17293000000.0,34783000000.0,10843000000.0,15817000000.0,5400000000.0,41246000000.0,65753000000.0,50908000000.0,30427000000.0,34619000000.0,37340000000.0
2,DSP,58723000000.0,24020000000.0,74943000000.0,69100000000.0,96983000000.0,97927000000.0,68786000000.0,13003000000.0,89806000000.0,45828000000.0,13581000000.0,35036000000.0,2981200000.0,4887500000.0,11065000000.0,3008200000.0,26881000000.0,132110000000.0,14606000000.0,23366000000.0,20746000000.0,21866000000.0,24347000000.0,39550000000.0,26186000000.0,15912000000.0,19472000000.0,31972000000.0,8532700000.0,19585000000.0,21346000000.0,5521700000.0,6317000000.0,26467000000.0,13992000000.0,13204000000.0,9721500000.0,150850000000.0,90107000000.0,122540000000.0,79342000000.0,73366000000.0,31302000000.0,128670000000.0,87856000000.0,75754000000.0,20964000000.0,11593000000.0,9783100000.0,21780000000.0,26085000000.0,100310000000.0,30791000000.0,12972000000.0,12738000000.0,46581000000.0,94289000000.0,157170000000.0,201700000000.0,106330000000.0,80530000000.0,123550000000.0
3,DYNC1H1,13102000000.0,4497000000.0,7804400000.0,10173000000.0,14084000000.0,12888000000.0,5579700000.0,5080000000.0,6844700000.0,3966500000.0,3964900000.0,2896800000.0,637570000.0,2618200000.0,2283500000.0,2287100000.0,3022300000.0,4453800000.0,1626600000.0,3433900000.0,2937900000.0,3313700000.0,4152500000.0,5293600000.0,3115000000.0,2861300000.0,3111300000.0,4216900000.0,2421300000.0,1869500000.0,2335000000.0,889550000.0,1575300000.0,3150600000.0,2059700000.0,2391400000.0,3049700000.0,15407000000.0,5597700000.0,10244000000.0,5441600000.0,7390200000.0,6714700000.0,12165000000.0,10934000000.0,16158000000.0,1813700000.0,5053200000.0,1549900000.0,3058600000.0,1665800000.0,4066300000.0,1695100000.0,3285700000.0,2064600000.0,859390000.0,11565000000.0,9379300000.0,12586000000.0,11015000000.0,8103000000.0,6867800000.0
4,MYH9,79361000000.0,45754000000.0,57828000000.0,88792000000.0,65103000000.0,100620000000.0,48632000000.0,81853000000.0,103140000000.0,14975000000.0,36187000000.0,11115000000.0,10012000000.0,12086000000.0,31806000000.0,10539000000.0,25863000000.0,33170000000.0,46225000000.0,51876000000.0,44054000000.0,24527000000.0,32189000000.0,31252000000.0,42003000000.0,57201000000.0,46279000000.0,62948000000.0,12844000000.0,40408000000.0,36458000000.0,10206000000.0,11316000000.0,14525000000.0,10966000000.0,23720000000.0,19732000000.0,93212000000.0,42220000000.0,47137000000.0,70555000000.0,133440000000.0,129010000000.0,85606000000.0,91041000000.0,101650000000.0,15940000000.0,55539000000.0,17335000000.0,27837000000.0,19457000000.0,36546000000.0,25605000000.0,19190000000.0,23882000000.0,22514000000.0,46569000000.0,48442000000.0,44259000000.0,67860000000.0,64688000000.0,61198000000.0
5,AHNAK2,2854600000.0,6524000000.0,2636200000.0,6549200000.0,8330600000.0,10032000000.0,2048000000.0,1366400000.0,4121600000.0,5923700000.0,1604200000.0,6311000000.0,1113700000.0,1920300000.0,910020000.0,2367200000.0,2515100000.0,3074500000.0,332190000.0,896240000.0,1317200000.0,2631800000.0,951740000.0,1531100000.0,582420000.0,2676100000.0,2949500000.0,2551300000.0,2491800000.0,305230000.0,1200000000.0,2755500000.0,2654400000.0,4710200000.0,2159500000.0,959670000.0,1118500000.0,10964000000.0,4505300000.0,4671500000.0,6037900000.0,49065000000.0,18828000000.0,12965000000.0,14615000000.0,8975100000.0,2928300000.0,6965200000.0,2010100000.0,1951800000.0,1231500000.0,330180000.0,1914700000.0,1047900000.0,2782700000.0,2678100.0,7695300000.0,6730400000.0,15992000000.0,3907000000.0,4156700000.0,5277700000.0
6,FLG,35963000000.0,33526000000.0,64364000000.0,3194800000.0,20851000000.0,750720000000.0,10133000000.0,45197000.0,307440000000.0,103140000000.0,59578000.0,76677000000.0,1071900000.0,4827300000.0,5490000000.0,3330800000.0,41005000000.0,10223000000.0,2996100000.0,278610000.0,18570000000.0,28096000000.0,15946000000.0,92754000000.0,775550000.0,24163000000.0,13874000000.0,14930000000.0,94869000000.0,4289200000.0,16273000000.0,66297000000.0,35324000000.0,114140000000.0,84442000000.0,7629200000.0,9175400000.0,55419000000.0,82117000000.0,71462000000.0,148960000000.0,88113000.0,43382000000.0,200590000000.0,67034000000.0,508030000000.0,83799000000.0,89693000.0,38586000000.0,24062000.0,12779000000.0,6351800.0,12820000000.0,9789700000.0,672860000.0,139650000000.0,118240000000.0,65176000000.0,87042000000.0,1065400000000.0,241810000000.0,876860000000.0
7,PRKDC,8193500000.0,3691200000.0,5949600000.0,15104000000.0,13375000000.0,10095000000.0,5185300000.0,5718800000.0,7301800000.0,1060000000.0,4356900000.0,596650000.0,451420000.0,772340000.0,1543100000.0,1169000000.0,2190500000.0,4956200000.0,1639500000.0,2377700000.0,3315000000.0,2238700000.0,4875700000.0,4203800000.0,2627900000.0,2648500000.0,2710600000.0,4425300000.0,844960000.0,3003100000.0,3879800000.0,135640000.0,129520000.0,1250000000.0,455610000.0,1904000000.0,1110200000.0,4227900000.0,2860700000.0,4897200000.0,2849400000.0,2175600000.0,4407700000.0,6169000000.0,7259500000.0,4445900000.0,406770000.0,3998800000.0,647520000.0,3514300000.0,266840000.0,5857100000.0,1139300000.0,2714700000.0,1326400000.0,24232000.0,8038800000.0,10983000000.0,3969800000.0,5213300000.0,5234500000.0,3976600000.0
8,MYH2,52885000.0,224670000.0,51729000.0,124020000.0,23570000.0,170230000.0,172010000000.0,500040000000.0,52133000000.0,4362000.0,924210.0,15849000.0,786020.0,2123700.0,5235500.0,2381800000.0,19207000.0,12443000.0,1019700.0,2298700.0,46743000000.0,4820900.0,2884600.0,5503800.0,1739900.0,3851100.0,168840000.0,9891900.0,2892300.0,2058100.0,2703700.0,6037400.0,5359700.0,4184700.0,601960.0,591970.0,1309900.0,59113000.0,39711000.0,32500000.0,107660000.0,307330000.0,195770000.0,7963700.0,220270000.0,60267000.0,123740000.0,2508600.0,2524500.0,13138000.0,704990.0,1348400.0,864120.0,1812300.0,2181800.0,210290000.0,141240000.0,72522000.0,479020000.0,1579800.0,26241000.0,293790000.0
9,SPTAN1,9856400000.0,16047000000.0,21048000000.0,21784000000.0,17405000000.0,27513000000.0,14199000000.0,15614000000.0,8805300000.0,5856600000.0,4033200000.0,5771100000.0,5309400000.0,6007400000.0,1711500000.0,5348600000.0,6306200000.0,3523800000.0,1515000000.0,2204800000.0,3556600000.0,3573700000.0,4949500000.0,4800700000.0,1990100000.0,4058200000.0,5264900000.0,4658700000.0,3309500000.0,2763100000.0,4389400000.0,5124600000.0,6699500000.0,6812600000.0,6375800000.0,2675400000.0,3569200000.0,6548600000.0,17238000000.0,15413000000.0,4775300000.0,4723600000.0,6882100000.0,9017900000.0,5384800000.0,4771800000.0,3414100000.0,4094700000.0,1847900000.0,1603100000.0,417270000.0,4906900000.0,834680000.0,3151800000.0,503660000.0,305070000.0,20265000000.0,15958000000.0,27716000000.0,7455800000.0,10579000000.0,10436000000.0
