	39-1	25-3	12-3	27-5	27-3	31-3	33-1	25-1	21-5	27-2	32-1	39-5	25-5	21-4	12-2	32-3	31-5	21-2	32-5	39-3	12-5	31-1	33-3	33-5
ENSG00000223972	0	0	1	0	0	0	0	0	2	0	0	0	3	3	0	0	0	0	1	0	0	0	2	3
ENSG00000227232	12	43	46	42	30	24	67	37	31	69	14	13	44	36	6	29	16	9	26	41	6	18	58	44
ENSG00000278267	4	2	9	1	8	0	1	6	4	13	2	2	2	7	13	1	0	0	2	8	1	2	8	2
ENSG00000243485	0	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	0	1
ENSG00000238009	0	0	0	0	0	0	1	0	2	0	0	1	0	3	0	1	0	0	1	0	1	3	1	1
ENSG00000233750	5	1	5	0	2	0	7	2	2	1	0	2	0	1	4	1	0	0	0	9	0	10	16	2
ENSG00000268903	6	5	7	11	0	0	23	11	6	0	14	14	3	6	6	3	6	0	6	15	5	71	50	28
ENSG00000269981	13	6	15	10	1	1	40	25	7	9	8	8	5	6	17	5	30	4	6	12	4	73	97	10
ENSG00000239906	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	1	1	1	2	0	1
ENSG00000241860	15	9	4	14	18	5	19	12	6	36	10	6	4	6	4	5	7	0	8	30	3	42	22	18
ENSG00000222623	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000279928	0	10	3	12	8	2	5	10	4	24	2	0	4	7	1	5	3	0	5	3	0	6	3	6
ENSG00000279457	17	61	65	69	79	27	102	63	31	218	22	23	57	51	17	22	80	5	39	57	18	38	105	63
ENSG00000228463	8	20	9	12	6	35	17	12	20	16	6	7	28	8	4	1	6	0	9	7	5	8	14	20
ENSG00000286448	0	2	0	0	0	1	0	1	1	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000237094	32	37	15	41	50	6	43	30	11	138	25	32	19	13	26	18	23	1	26	55	17	112	58	38
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000250575	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	2	0
ENSG00000230021	8	11	1	3	6	1	7	7	11	35	6	6	11	4	4	0	4	1	15	13	2	5	10	6
ENSG00000225972	3	5	2	2	4	5	8	2	5	3	6	13	11	3	2	7	0	0	4	14	1	2	3	15
ENSG00000225630	67	47	8	15	54	73	27	22	64	53	37	43	99	109	29	28	12	3	55	33	4	42	20	86
