,Gene names,BCC Intensity 12_1L,BCC Intensity 12_3L,BCC Intensity 12_5L,BCC Intensity 27_1L,BCC Intensity 27_3L,BCC Intensity 27_5L,BCC Intensity 39_1L,BCC Intensity 39_3L,BCC Intensity 39_5L,BCC Intensity 89_1L,BCC Intensity 89_3L,BCC Intensity 89_5L,BCC Intensity 72_3L,BCC Intensity 103_1L,BCC Intensity 103_3L,BCC Intensity 103_5L,BCC Intensity 107_3L,BCC Intensity 111_3L,BCC Intensity 49_3L,BCC Intensity 105_3L,BCC Intensity 16_3L,BCC Intensity 99_1L,BCC Intensity 99_3L,BCC Intensity 99_5L,BCC Intensity 109_3L,BCC Intensity 73_1L,BCC Intensity 73_3L,BCC Intensity 73_5L,BCC Intensity 92_1L,BCC Intensity 92_3L,BCC Intensity 92_5L,BCC Intensity 54_1L,BCC Intensity 54_3L,BCC Intensity 54_5L,BCC Intensity 104_1L,BCC Intensity 104_3L,BCC Intensity 104_5L,SCC Intensity 21_1L,SCC Intensity 21_3L,SCC Intensity 21_5L,SCC Intensity 31_1L,SCC Intensity 31_3L,SCC Intensity 31_5L,SCC Intensity 32_1L,SCC Intensity 32_3L,SCC Intensity 32_5L,SCC Intensity 90_1L,SCC Intensity 90_3L,SCC Intensity 90_5L,SCC Intensity 59_3L,SCC Intensity 88_3L,SCC Intensity 110_3L,SCC Intensity 45_3L,SCC Intensity 60_3L,SCC Intensity 95_3L,SCC Intensity 101_3L,SCC&BCC Intensity 25_1L,SCC&BCC Intensity 25_3L,SCC&BCC Intensity 25_5L,keratosis Intensity 33_1L,keratosis Intensity 33_3L,keratosis Intensity 33_5L
0,AHNAK,78729000000,156040000000,85021000000,43975000000,19304000000,83314000000,23138000000,25789000000,19531000000,57394000000,25689000000,49293000000,21028000000,38262000000,11988000000,35627000000,19938000000,17129000000,15138000000,15410000000,12183000000,11946000000,25213000000,16327000000,8590400000,49658000000,78987000000,56705000000,42396000000,27426000000,31657000000,16560000000,30591000000,33419000000,17002000000,20027000000,22380000000,37401000000,65704000000,60635000000,25073000000,41452000000,20075000000,27769000000,24816000000,11244000000,25306000000,55444000000,15049000000,8325100000,2883500000,5813700000,2966500000,14356000000,6223100000,397560000,73842000000,60102000000,76087000000,11909000000,23331000000,22390000000
1,PLEC,32419000000,13572000000,29106000000,28577000000,13302000000,31508000000,7172200000,10833000000,11287000000,11683000000,23633000000,9600200000,4670300000,5068900000,9803100000,4825200000,9047900000,10713000000,10502000000,20270000000,8450300000,3913100000,12272000000,9666400000,9524700000,26378000000,38017000000,43614000000,8137100000,42212000000,38834000000,2272000000,4629500000,8400800000,5895900000,5485900000,6337900000,17952000000,18492000000,22536000000,6779900000,22810000000,12458000000,15839000000,23564000000,7970200000,3739700000,97827000000,2365000000,5186900000,563840000,6659200000,4332700000,4334300000,4821200000,2246100000,33275000000,29116000000,26459000000,4930300000,10888000000,7565400000
2,DSP,56083000000,24062000000,51952000000,22222000000,15249000000,50050000000,15635000000,3559700000,20128000000,50193000000,20746000000,30206000000,1430200000,3824800000,11756000000,1785900000,16730000000,63871000000,9477800000,20849000000,10608000000,13121000000,23559000000,23241000000,15717000000,17842000000,30249000000,46293000000,10359000000,25859000000,25572000000,1819000000,3682700000,18715000000,7579700000,10922000000,8043300000,64757000000,68529000000,77105000000,19750000000,16352000000,6715900000,31914000000,21829000000,13108000000,17707000000,17154000000,4473400000,7155300000,3268100000,38033000000,4307200000,5713700000,3821900000,21196000000,66285000000,90415000000,98591000000,16389000000,25932000000,26911000000
3,DYNC1H1,12359000000,4669300000,6827800000,3065700000,1639800000,6309700000,1521300000,1891600000,2080100000,2955400000,5202000000,1912300000,357280000,1712900000,2221800000,1620200000,1608700000,1609400000,763240000,2438000000,1364200000,1195000000,2735300000,2377200000,1632200000,2773900000,3804200000,4875300000,2361600000,2331200000,2514400000,473780000,939070000,1941600000,978490000,2060700000,2167500000,4639400000,5063300000,6272700000,1724900000,2032700000,1760900000,2951600000,2811200000,2545300000,1202100000,7220800000,649630000,922290000,184530000,1568100000,227420000,1140300000,504280000,265000000,7510300000,7394400000,5012100000,1483500000,2630900000,1938800000
4,MYH9,75731000000,44028000000,39473000000,28850000000,10999000000,46907000000,11589000000,20930000000,25051000000,15063000000,57176000000,8482500000,5924800000,9669500000,36742000000,7819300000,15231000000,15679000000,33407000000,46671000000,23753000000,8593000000,25013000000,18273000000,24995000000,69560000000,79036000000,100720000000,16822000000,57349000000,44361000000,4060100000,7182600000,10409000000,6044800000,20602000000,17365000000,46274000000,29976000000,29258000000,20257000000,34473000000,32920000000,23925000000,23326000000,19838000000,13824000000,94651000000,9732600000,9162900000,2462300000,13123000000,3747100000,8474300000,8216800000,6197700000,32905000000,27413000000,21217000000,11630000000,21827000000,13636000000
5,AHNAK2,3538200000,5876900000,2497300000,2096600000,1165000000,5038400000,476830000,293370000,949770000,5047500000,2255100000,4495600000,638380000,1613100000,875810000,1547300000,1371200000,1199800000,210930000,670410000,631840000,889800000,755110000,856930000,378520000,2793200000,4078000000,3143600000,2912300000,399710000,1275700000,1286800000,1558600000,2810000000,1202600000,651520000,862000000,4236200000,3394800000,3787800000,2035200000,11643000000,3747400000,3372000000,3531900000,1574000000,2185700000,9683800000,942840000,585280000,137580000,121970000,171780000,474630000,888990000,3872000,6542700000,4481100000,7793600000,602140000,1144600000,1150300000
6,FLG,34003000000,35121000000,37911000000,1263500000,2526200000,280550000000,2694400000,123150000,68250000000,108950000000,130880000,63475000000,545390000,3906400000,5776900000,2164700000,24685000000,5376500000,1306000000,175490000,8543500000,10408000000,10957000000,44868000000,290070000,27519000000,23717000000,18468000000,124730000000,4127300000,20488000000,34131000000,28397000000,92335000000,50577000000,5242600000,8096400000,25973000000,59850000000,48267000000,40276000000,162750000,9715900000,52926000000,19227000000,99213000000,62934000000,195240000,17087000000,13696000,1538200000,3795000,1610000000,3900600000,183750000,42215000000,78187000000,37928000000,43750000000,187760000000,87249000000,212990000000
7,PRKDC,7157500000,3439400000,4187100000,3862300000,2464300000,4960600000,1140900000,1363500000,1664200000,1174400000,4961400000,557100000,306880000,848250000,1652900000,788010000,1331100000,2085100000,816630000,1819100000,1347700000,771070000,2914300000,2197000000,1285300000,2646300000,3751600000,4735200000,1321700000,3643600000,3769400000,108680000,195160000,1047000000,281540000,1621000000,1490400000,1775400000,1559900000,3156700000,887050000,561510000,767890000,1529900000,1948200000,858740000,384760000,5663200000,290010000,1059900000,74880000,1817600000,156590000,999260000,406800000,78371000,5565700000,6133600000,2014500000,918460000,1938900000,851150000
8,MYH2,230290000,350630000,272000000,85069000,56565000,199590000,39700000000,128940000000,11395000000,107140000,27386000,116250000,5636500,79912000,120260000,1099300000,78460000,192890000,9942900,56557000,23774000000,52692000,60222000,67638000,16658000,103500000,244940000,104420000,61635000,41139000,55415000,19116000,23833000,65373000,5454900,13064000,22743000,238260000,139100000,96551000,122340000,200650000,44695000,68295000,105260000,89238000,100900000,145460000,21027000,103460000,888420,44028000,1474700,16375000,17172000,66567000,128850000,169840000,283630000,78154000,34242000,198710000
9,SPTAN1,11029000000,12792000000,12361000000,5684800000,2316100000,12638000000,3707400000,4078200000,2875200000,5415100000,4805900000,4278100000,2593700000,4345100000,1982400000,3833100000,3453200000,1337000000,1110800000,1907400000,1646700000,1177800000,2785800000,2350200000,1085700000,3829600000,7432000000,6419200000,3730600000,3551000000,4270100000,2176400000,4030600000,4039200000,3448100000,2534800000,3061500000,3816400000,12091000000,9466300000,1562500000,1421800000,1383400000,2750100000,1845100000,1297000000,2448700000,5545400000,1070200000,545910000,91743000,1775200000,137320000,1147900000,224050000,144260000,12916000000,10602000000,11549000000,1640800000,3300500000,2452300000
